number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
63,0.8953191489361702,2026-02-05 23:06:31.286673,2026-02-05 23:06:31.450965,0 days 00:00:00.164292,0.9573777933246405,0.20098370606570304,0.27073669556115043,3,1,352,0.1621440563683973,0.7169942950053106,0.629363588811661,0.013348414588389885,COMPLETE
64,0.8782978723404256,2026-02-05 23:06:31.826593,2026-02-05 23:06:31.997251,0 days 00:00:00.170658,0.9598869484696795,0.2029543397055859,0.20204677664836568,4,2,344,0.16425623534416928,0.717493764487416,0.6417643971686371,0.008338688486070377,COMPLETE
65,0.8434042553191489,2026-02-05 23:06:32.349822,2026-02-05 23:06:32.477771,0 days 00:00:00.127949,0.9076135650271685,0.05182559872765739,0.23343860579524334,3,2,251,0.13194736060677253,0.6826192777193274,0.6086589192891292,0.010898934872226141,COMPLETE
66,0.8417021276595745,2026-02-05 23:06:32.810735,2026-02-05 23:06:32.938057,0 days 00:00:00.127322,0.9485578481644159,0.22279311832770854,0.14237540128289236,3,4,331,0.34704438945193805,0.7520520782191066,0.6568354040212743,0.01122630294321101,COMPLETE
67,0.861276595744681,2026-02-05 23:06:33.276835,2026-02-05 23:06:33.502296,0 days 00:00:00.225461,0.8343307150147654,0.1110287783740494,0.16683004427252898,4,3,459,0.18459250946481998,0.8118941202982484,0.6520856708708135,0.018954091447932017,COMPLETE
68,0.9038297872340426,2026-02-05 23:06:33.871357,2026-02-05 23:06:34.124477,0 days 00:00:00.253120,0.8744098046085843,0.19250513125261576,0.2733963728804307,3,1,488,0.4297478407837856,0.0951926550865545,0.6864850757631904,0.022290724857376668,COMPLETE
69,0.8987234042553192,2026-02-05 23:06:34.517628,2026-02-05 23:06:34.816098,0 days 00:00:00.298470,0.8804146585662693,0.25039824534937094,0.27380070075165236,3,1,491,0.04609299787504557,0.19167571695522168,0.6725431285215825,0.016458791153883982,COMPLETE
70,0.8910638297872339,2026-02-05 23:06:35.181599,2026-02-05 23:06:35.408029,0 days 00:00:00.226430,0.9901621579284929,0.24283055040444734,0.19318395576633773,4,1,487,0.05293081445224079,0.12841288798512507,0.6782326727702596,0.015600257684956043,COMPLETE
71,0.8859574468085107,2026-02-05 23:06:35.750190,2026-02-05 23:06:36.062662,0 days 00:00:00.312472,0.987413167126899,0.26146020660375446,0.26182274420507023,4,1,490,0.048566639316871066,0.10612535514661645,0.6825925209796216,0.016458791153884,COMPLETE
72,0.8961702127659574,2026-02-05 23:06:36.457240,2026-02-05 23:06:36.746173,0 days 00:00:00.288933,0.8052534171725352,0.23904370467021152,0.2740934211809337,3,1,488,0.049486632500836486,0.14164988204739887,0.6702676571468738,0.013617021276595713,COMPLETE
